Type Deep Layer;Process;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
11;1;11;20;8;1;652;78;1;0.35888;0.84663;0.89025;0.69071
11;1;11;20;8;1;652;78;2;0.25281;0.89225;0.50741;0.78526
11;1;11;20;8;1;652;78;3;0.21675;0.91603;0.53502;0.75962
11;1;11;20;8;1;652;78;4;0.19620;0.92255;0.38557;0.83814
11;1;11;20;8;1;652;78;5;0.19278;0.92274;0.49962;0.82051
11;1;11;20;8;1;652;78;6;0.16175;0.93328;0.41012;0.85417
11;1;11;20;8;1;652;78;7;0.17303;0.93424;0.78014;0.76763
11;1;11;20;8;1;652;78;8;0.15979;0.93731;0.30330;0.87019
11;1;11;20;8;1;652;78;9;0.14879;0.94210;0.37956;0.87660
11;1;11;20;8;1;652;78;10;0.15084;0.94018;0.55593;0.81410
11;1;11;20;8;1;652;78;11;0.14285;0.94555;0.31715;0.87179
11;1;11;20;8;1;652;78;12;0.15901;0.94306;0.35240;0.87340
11;1;11;20;8;1;652;78;13;0.13229;0.95035;0.44084;0.85256
11;1;11;20;8;1;652;78;14;0.13373;0.94939;0.45096;0.83974
11;1;11;20;8;1;652;78;15;0.13510;0.94785;0.46695;0.83814
11;1;11;20;8;1;652;78;16;0.12568;0.95245;0.56811;0.82692
11;1;11;20;8;1;652;78;17;0.13573;0.95380;0.37934;0.85417
11;1;11;20;8;1;652;78;18;0.12139;0.95437;0.50205;0.83494
11;1;11;20;8;1;652;78;19;0.12949;0.95188;0.42905;0.86058
11;1;11;20;8;1;652;78;20;0.12395;0.95092;0.67445;0.80609
11;1;11;20;16;1;326;39;1;0.10700;0.96012;0.67431;0.84615
11;1;11;20;16;1;326;39;2;0.10158;0.96530;0.38754;0.87821
11;1;11;20;16;1;326;39;3;0.10009;0.96262;0.51536;0.85096
11;1;11;20;16;1;326;39;4;0.09980;0.96204;0.45146;0.87179
11;1;11;20;16;1;326;39;5;0.10327;0.96377;0.59739;0.84776
11;1;11;20;16;1;326;39;6;0.10315;0.96338;0.48141;0.85897
11;1;11;20;16;1;326;39;7;0.10559;0.96108;0.54406;0.83333
11;1;11;20;16;1;326;39;8;0.09723;0.96357;0.61372;0.86218
11;1;11;20;16;1;326;39;9;0.09413;0.96702;0.48070;0.85737
11;1;11;20;16;1;326;39;10;0.09739;0.96415;0.42021;0.86378
11;1;11;20;16;1;326;39;11;0.10207;0.96204;0.51669;0.83654
11;1;11;20;16;1;326;39;12;0.09768;0.96530;0.43516;0.86378
11;1;11;20;16;1;326;39;13;0.09084;0.96664;0.65695;0.83814
11;1;11;20;16;1;326;39;14;0.08838;0.96568;0.65122;0.81891
11;1;11;20;16;1;326;39;15;0.08763;0.96837;0.47922;0.84455
11;1;11;20;16;1;326;39;16;0.09235;0.96357;0.49411;0.87340
11;1;11;20;16;1;326;39;17;0.08401;0.96913;0.46675;0.86378
11;1;11;20;16;1;326;39;18;0.08496;0.96760;0.58409;0.84135
11;1;11;20;16;1;326;39;19;0.08420;0.96894;0.44919;0.86538
11;1;11;20;16;1;326;39;20;0.09163;0.96530;0.67842;0.84455
