Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
2;1;2;20;8;2;652;78;1;0.31050;0.88056;0.50106;0.77885
2;1;2;20;8;2;652;78;2;0.19052;0.92274;0.51947;0.82372
2;1;2;20;8;2;652;78;3;0.17686;0.93520;1.07067;0.75801
2;1;2;20;8;2;652;78;4;0.15212;0.94402;0.35551;0.85256
2;1;2;20;8;2;652;78;5;0.14477;0.94344;0.32697;0.88141
2;1;2;20;8;2;652;78;6;0.13746;0.94919;0.38817;0.80929
2;1;2;20;8;2;652;78;7;0.12530;0.95322;0.46724;0.82692
2;1;2;20;8;2;652;78;8;0.12712;0.95859;0.94040;0.81891
2;1;2;20;8;2;652;78;9;0.12018;0.95744;0.72479;0.81891
2;1;2;20;8;2;652;78;10;0.10787;0.96127;0.49526;0.71955
2;1;2;20;8;2;652;78;11;0.11714;0.95897;1.62718;0.72436
2;1;2;20;8;2;652;78;12;0.12385;0.95667;0.31304;0.87340
2;1;2;20;8;2;652;78;13;0.10364;0.96587;0.53326;0.85256
2;1;2;20;8;2;652;78;14;0.10789;0.96281;0.63016;0.82692
2;1;2;20;8;2;652;78;15;0.09817;0.96377;0.55154;0.86538
2;1;2;20;8;2;652;78;16;0.10745;0.96472;0.85593;0.81410
2;1;2;20;8;2;652;78;17;0.09693;0.96587;0.80255;0.81410
2;1;2;20;8;2;652;78;18;0.09237;0.96683;0.66422;0.85897
2;1;2;20;8;2;652;78;19;0.09271;0.96760;0.62215;0.81571
2;1;2;20;8;2;652;78;20;0.08532;0.97048;0.49148;0.86058
2;1;2;20;16;2;326;39;1;0.08194;0.97316;0.46983;0.87821
2;1;2;20;16;2;326;39;2;0.07466;0.97527;0.45168;0.87981
2;1;2;20;16;2;326;39;3;0.06921;0.97450;0.48372;0.87340
2;1;2;20;16;2;326;39;4;0.06413;0.97814;1.37188;0.76923
2;1;2;20;16;2;326;39;5;0.07315;0.97163;0.47155;0.84936
2;1;2;20;16;2;326;39;6;0.06831;0.97680;0.42722;0.87660
2;1;2;20;16;2;326;39;7;0.06178;0.97719;1.07414;0.81891
2;1;2;20;16;2;326;39;8;0.05629;0.98025;1.04745;0.80449
2;1;2;20;16;2;326;39;9;0.07111;0.97508;0.39607;0.87340
2;1;2;20;16;2;326;39;10;0.06124;0.97987;0.63202;0.86058
2;1;2;20;16;2;326;39;11;0.05903;0.97891;0.52943;0.86058
2;1;2;20;16;2;326;39;12;0.06220;0.97776;1.63874;0.66346
2;1;2;20;16;2;326;39;13;0.06266;0.97929;0.74984;0.82532
2;1;2;20;16;2;326;39;14;0.06226;0.97853;0.60396;0.80288
2;1;2;20;16;2;326;39;15;0.06259;0.97642;0.57886;0.84455
2;1;2;20;16;2;326;39;16;0.05532;0.97968;0.62333;0.86218
2;1;2;20;16;2;326;39;17;0.05679;0.97814;0.61501;0.87019
2;1;2;20;16;2;326;39;18;0.05600;0.98102;0.78072;0.87019
2;1;2;20;16;2;326;39;19;0.05350;0.98044;0.62141;0.86699
2;1;2;20;16;2;326;39;20;0.05078;0.98044;0.84348;0.83654
2;2;2;20;8;3;652;78;1;0.30116;0.88267;0.80291;0.80609
2;2;2;20;8;3;652;78;2;0.17937;0.92811;0.66531;0.79647
2;2;2;20;8;3;652;78;3;0.16939;0.93616;0.84543;0.81250
2;2;2;20;8;3;652;78;4;0.15341;0.94689;0.48585;0.85256
2;2;2;20;8;3;652;78;5;0.14090;0.95092;0.79919;0.79808
2;2;2;20;8;3;652;78;6;0.12783;0.95303;0.46041;0.81410
2;2;2;20;8;3;652;78;7;0.12841;0.95245;0.51277;0.83333
2;2;2;20;8;3;652;78;8;0.11874;0.95571;0.62198;0.83173
2;2;2;20;8;3;652;78;9;0.11868;0.95782;0.93806;0.77724
2;2;2;20;8;3;652;78;10;0.11942;0.95629;0.53057;0.85737
2;2;2;20;8;3;652;78;11;0.11117;0.96166;0.42611;0.83974
2;2;2;20;8;3;652;78;12;0.10362;0.96242;0.35331;0.86058
2;2;2;20;8;3;652;78;13;0.11533;0.96262;0.35022;0.87179
2;2;2;20;8;3;652;78;14;0.09888;0.96626;1.15505;0.77404
2;2;2;20;8;3;652;78;15;0.09139;0.96664;0.52693;0.85897
2;2;2;20;8;3;652;78;16;0.10051;0.96683;0.43391;0.88462
2;2;2;20;8;3;652;78;17;0.11388;0.96185;0.71451;0.80449
2;2;2;20;8;3;652;78;18;0.09135;0.96722;0.51579;0.80128
2;2;2;20;8;3;652;78;19;0.08881;0.97086;0.63564;0.84295
2;2;2;20;8;3;652;78;20;0.08040;0.97258;0.71969;0.81891
2;2;2;20;16;3;326;39;1;0.07464;0.97584;0.35146;0.88141
2;2;2;20;16;3;326;39;2;0.06757;0.97450;0.60101;0.84776
2;2;2;20;16;3;326;39;3;0.06147;0.97814;0.51388;0.87981
