Group Model;Process;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
7;1;7;20;8;2;652;78;1;0.40098;0.82439;0.66818;0.75000
7;1;7;20;8;2;652;78;2;0.32073;0.86791;1.50837;0.62500
7;1;7;20;8;2;652;78;3;0.28384;0.88650;1.27087;0.64583
7;1;7;20;8;2;652;78;4;0.28309;0.88248;0.94222;0.67788
7;1;7;20;8;2;652;78;5;0.26519;0.89130;0.41507;0.81250
7;1;7;20;8;2;652;78;6;0.24993;0.90261;1.10551;0.75801
7;1;7;20;8;2;652;78;7;0.25666;0.89513;0.89194;0.72917
7;1;7;20;8;2;652;78;8;0.22073;0.91200;0.41524;0.86859
7;1;7;20;8;2;652;78;9;0.24476;0.90031;0.54707;0.79487
7;1;7;20;8;2;652;78;10;0.22200;0.91718;0.36612;0.86859
7;1;7;20;8;2;652;78;11;0.22015;0.91699;1.25578;0.72436
7;1;7;20;8;2;652;78;12;0.19678;0.92350;0.57261;0.80128
7;1;7;20;8;2;652;78;13;0.20186;0.92676;1.00229;0.77564
7;1;7;20;8;2;652;78;14;0.21219;0.91986;0.51023;0.82051
7;1;7;20;8;2;652;78;15;0.20156;0.92983;0.51126;0.84776
7;1;7;20;8;2;652;78;16;0.18613;0.92983;0.38506;0.86378
7;1;7;20;8;2;652;78;17;0.20323;0.92312;0.90009;0.79327
7;1;7;20;8;2;652;78;18;0.19881;0.93137;1.70155;0.71635
7;1;7;20;8;2;652;78;19;0.18050;0.93827;0.92205;0.76442
7;1;7;20;8;2;652;78;20;0.17173;0.93865;1.32162;0.73397
7;1;7;20;16;2;326;39;1;0.14265;0.94824;1.17883;0.78686
7;1;7;20;16;2;326;39;2;0.12752;0.95322;2.18647;0.76763
7;1;7;20;16;2;326;39;3;0.11726;0.95763;0.62289;0.87500
7;1;7;20;16;2;326;39;4;0.11543;0.95974;0.46258;0.87019
7;1;7;20;16;2;326;39;5;0.11660;0.95821;0.38213;0.85417
7;1;7;20;16;2;326;39;6;0.13367;0.95015;1.08860;0.73237
7;1;7;20;16;2;326;39;7;0.11128;0.96281;0.84071;0.78686
7;1;7;20;16;2;326;39;8;0.11980;0.95667;0.68862;0.84455
7;1;7;20;16;2;326;39;9;0.12031;0.95744;0.43224;0.87660
7;1;7;20;16;2;326;39;10;0.11867;0.95974;1.24023;0.67468
7;1;7;20;16;2;326;39;11;0.11856;0.95514;0.64300;0.74359
7;1;7;20;16;2;326;39;12;0.11119;0.95955;1.14323;0.74199
7;1;7;20;16;2;326;39;13;0.11248;0.96089;0.70367;0.78365
7;1;7;20;16;2;326;39;14;0.11068;0.96070;0.58668;0.84455
7;1;7;20;16;2;326;39;15;0.10266;0.96262;0.61583;0.82853
7;1;7;20;16;2;326;39;16;0.11070;0.96127;1.11282;0.68910
7;1;7;20;16;2;326;39;17;0.10781;0.96281;0.51901;0.83494
7;1;7;20;16;2;326;39;18;0.09957;0.96415;0.49944;0.87340
7;1;7;20;16;2;326;39;19;0.10099;0.96472;2.78100;0.77404
7;1;7;20;16;2;326;39;20;0.14050;0.95226;0.67086;0.77564
7;2;7;20;8;3;652;78;1;0.39916;0.82362;0.92247;0.69872
7;2;7;20;8;3;652;78;2;0.32574;0.85966;0.41813;0.81571
7;2;7;20;8;3;652;78;3;0.30178;0.87117;0.44916;0.80609
7;2;7;20;8;3;652;78;4;0.28344;0.88478;0.61716;0.75801
7;2;7;20;8;3;652;78;5;0.23796;0.91085;1.40481;0.67628
7;2;7;20;8;3;652;78;6;0.25334;0.89762;1.15904;0.71474
7;2;7;20;8;3;652;78;7;0.24433;0.90970;0.87829;0.71314
7;2;7;20;8;3;652;78;8;0.21253;0.92216;0.72838;0.81731
