Type Deep Layer;Process;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
11;0;1;20;16;2;326;39;1;0.34932;0.84643;0.95092;0.66186
11;0;1;20;16;2;326;39;2;0.23112;0.90491;0.95744;0.70994
11;0;1;20;16;2;326;39;3;0.20985;0.91545;0.55305;0.75801
11;0;1;20;16;2;326;39;4;0.19251;0.92600;0.67553;0.77885
11;0;1;20;16;2;326;39;5;0.17601;0.93060;1.37370;0.66186
11;0;1;20;16;2;326;39;6;0.18488;0.92753;0.28171;0.91506
11;0;1;20;16;2;326;39;7;0.16394;0.93769;0.30207;0.91026
11;0;1;20;16;2;326;39;8;0.15079;0.94824;0.29299;0.92788
11;0;1;20;16;2;326;39;9;0.14668;0.94651;0.64230;0.77404
11;0;1;20;16;2;326;39;10;0.14780;0.94248;0.54102;0.79327
11;0;1;20;16;2;326;39;11;0.13974;0.94670;1.16160;0.70353
11;0;1;20;16;2;326;39;12;0.14362;0.94555;0.28258;0.91827
11;0;1;20;16;2;326;39;13;0.14199;0.94709;0.27472;0.91506
11;0;1;20;16;2;326;39;14;0.13354;0.95111;0.39223;0.89423
11;0;1;20;16;2;326;39;15;0.14245;0.94785;0.39252;0.91186
11;0;1;20;16;2;326;39;16;0.13730;0.94651;0.80117;0.79487
11;0;1;20;16;2;326;39;17;0.12363;0.95571;0.36489;0.89583
11;0;1;20;16;2;326;39;18;0.12270;0.95610;0.68221;0.83013
11;0;1;20;16;2;326;39;19;0.11962;0.95495;0.36800;0.91186
11;0;1;20;16;2;326;39;20;0.11122;0.96166;0.35195;0.90705
