Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
10;10;12;12;16;2;326;39;1;0.56243;0.74214;0.76951;0.64423
10;10;12;12;16;2;326;39;2;0.42423;0.79525;0.44917;0.80609
10;10;12;12;16;2;326;39;3;0.28772;0.88439;0.33357;0.85577
10;10;12;12;16;2;326;39;4;0.23774;0.90280;0.42470;0.83333
10;10;12;12;16;2;326;39;5;0.19891;0.92389;0.38917;0.82692
10;10;12;12;16;2;326;39;6;0.19197;0.92581;0.57734;0.80449
10;10;12;12;16;2;326;39;7;0.17197;0.93137;0.39705;0.88301
10;10;12;12;16;2;326;39;8;0.17332;0.93060;0.36039;0.87660
10;10;12;12;16;2;326;39;9;0.16000;0.93769;0.28959;0.88622
10;10;12;12;16;2;326;39;10;0.17263;0.93137;0.52410;0.82532
10;10;12;12;16;2;326;39;11;0.16658;0.93692;0.87555;0.76282
10;10;12;12;16;2;326;39;12;0.16137;0.93827;0.58036;0.84615
